insurance_plan_id,name,coverage,region
1,Insurance Plan 1,Fire,North
2,Insurance Plan 2,Medical,South
3,Insurance Plan 3,Theft,South
4,Insurance Plan 4,Fire,North
5,Insurance Plan 5,Natural Disaster,West
6,Insurance Plan 6,Fire,North
7,Insurance Plan 7,Fire,South
8,Insurance Plan 8,Theft,North
9,Insurance Plan 9,Natural Disaster,South
10,Insurance Plan 10,Natural Disaster,West
11,Insurance Plan 11,Theft,West
12,Insurance Plan 12,Natural Disaster,East
13,Insurance Plan 13,Fire,South
14,Insurance Plan 14,Accident,East
15,Insurance Plan 15,Medical,South
16,Insurance Plan 16,Theft,East
17,Insurance Plan 17,Fire,North
18,Insurance Plan 18,Accident,North
19,Insurance Plan 19,Medical,East
20,Insurance Plan 20,Natural Disaster,East
21,Insurance Plan 21,Fire,West
22,Insurance Plan 22,Natural Disaster,North
23,Insurance Plan 23,Accident,North
24,Insurance Plan 24,Natural Disaster,East
25,Insurance Plan 25,Natural Disaster,East
26,Insurance Plan 26,Natural Disaster,South
27,Insurance Plan 27,Fire,North
28,Insurance Plan 28,Theft,East
29,Insurance Plan 29,Fire,South
30,Insurance Plan 30,Fire,West
31,Insurance Plan 31,Medical,West
32,Insurance Plan 32,Medical,South
33,Insurance Plan 33,Medical,East
34,Insurance Plan 34,Theft,East
35,Insurance Plan 35,Fire,South
36,Insurance Plan 36,Natural Disaster,South
37,Insurance Plan 37,Theft,West
38,Insurance Plan 38,Accident,East
39,Insurance Plan 39,Natural Disaster,South
40,Insurance Plan 40,Medical,North
41,Insurance Plan 41,Theft,North
42,Insurance Plan 42,Medical,West
43,Insurance Plan 43,Medical,North
44,Insurance Plan 44,Theft,East
45,Insurance Plan 45,Theft,West
46,Insurance Plan 46,Accident,West
47,Insurance Plan 47,Theft,East
48,Insurance Plan 48,Theft,South
49,Insurance Plan 49,Natural Disaster,East
50,Insurance Plan 50,Natural Disaster,West
51,Insurance Plan 51,Natural Disaster,West
52,Insurance Plan 52,Medical,South
53,Insurance Plan 53,Theft,West
54,Insurance Plan 54,Fire,North
55,Insurance Plan 55,Fire,South
56,Insurance Plan 56,Theft,West
57,Insurance Plan 57,Natural Disaster,North
58,Insurance Plan 58,Accident,West
59,Insurance Plan 59,Natural Disaster,West
60,Insurance Plan 60,Natural Disaster,East
61,Insurance Plan 61,Natural Disaster,North
62,Insurance Plan 62,Fire,East
63,Insurance Plan 63,Medical,North
64,Insurance Plan 64,Medical,West
65,Insurance Plan 65,Theft,West
66,Insurance Plan 66,Fire,East
67,Insurance Plan 67,Natural Disaster,South
68,Insurance Plan 68,Natural Disaster,North
69,Insurance Plan 69,Medical,South
70,Insurance Plan 70,Theft,East
71,Insurance Plan 71,Theft,North
72,Insurance Plan 72,Natural Disaster,East
73,Insurance Plan 73,Accident,North
74,Insurance Plan 74,Fire,East
75,Insurance Plan 75,Medical,South
76,Insurance Plan 76,Fire,South
77,Insurance Plan 77,Natural Disaster,North
78,Insurance Plan 78,Fire,West
79,Insurance Plan 79,Fire,South
80,Insurance Plan 80,Theft,West
81,Insurance Plan 81,Natural Disaster,South
82,Insurance Plan 82,Medical,West
83,Insurance Plan 83,Theft,South
84,Insurance Plan 84,Medical,West
85,Insurance Plan 85,Medical,West
86,Insurance Plan 86,Natural Disaster,West
87,Insurance Plan 87,Fire,South
88,Insurance Plan 88,Theft,North
89,Insurance Plan 89,Medical,North
90,Insurance Plan 90,Natural Disaster,South
91,Insurance Plan 91,Natural Disaster,South
92,Insurance Plan 92,Fire,North
93,Insurance Plan 93,Fire,South
94,Insurance Plan 94,Fire,North
95,Insurance Plan 95,Medical,North
96,Insurance Plan 96,Natural Disaster,South
97,Insurance Plan 97,Medical,West
98,Insurance Plan 98,Theft,South
99,Insurance Plan 99,Natural Disaster,West
100,Insurance Plan 100,Theft,West
101,Insurance Plan 101,Accident,South
102,Insurance Plan 102,Fire,North
103,Insurance Plan 103,Accident,East
104,Insurance Plan 104,Accident,West
105,Insurance Plan 105,Accident,North
106,Insurance Plan 106,Fire,North
107,Insurance Plan 107,Accident,East
108,Insurance Plan 108,Fire,South
109,Insurance Plan 109,Theft,South
110,Insurance Plan 110,Natural Disaster,West
111,Insurance Plan 111,Theft,West
112,Insurance Plan 112,Theft,East
113,Insurance Plan 113,Accident,South
114,Insurance Plan 114,Fire,West
115,Insurance Plan 115,Natural Disaster,North
116,Insurance Plan 116,Fire,North
117,Insurance Plan 117,Fire,South
118,Insurance Plan 118,Theft,West
119,Insurance Plan 119,Accident,West
120,Insurance Plan 120,Theft,West
121,Insurance Plan 121,Fire,South
122,Insurance Plan 122,Accident,North
123,Insurance Plan 123,Accident,East
124,Insurance Plan 124,Accident,East
125,Insurance Plan 125,Accident,West
126,Insurance Plan 126,Theft,South
127,Insurance Plan 127,Medical,South
128,Insurance Plan 128,Fire,North
129,Insurance Plan 129,Medical,North
130,Insurance Plan 130,Fire,West
131,Insurance Plan 131,Natural Disaster,South
132,Insurance Plan 132,Fire,North
133,Insurance Plan 133,Theft,North
134,Insurance Plan 134,Natural Disaster,North
135,Insurance Plan 135,Theft,West
136,Insurance Plan 136,Fire,South
137,Insurance Plan 137,Natural Disaster,North
138,Insurance Plan 138,Natural Disaster,North
139,Insurance Plan 139,Accident,East
140,Insurance Plan 140,Medical,South
141,Insurance Plan 141,Medical,South
142,Insurance Plan 142,Medical,West
143,Insurance Plan 143,Theft,East
144,Insurance Plan 144,Accident,East
145,Insurance Plan 145,Fire,North
146,Insurance Plan 146,Accident,North
147,Insurance Plan 147,Fire,South
148,Insurance Plan 148,Natural Disaster,East
149,Insurance Plan 149,Theft,East
150,Insurance Plan 150,Fire,South
151,Insurance Plan 151,Medical,East
152,Insurance Plan 152,Theft,West
153,Insurance Plan 153,Natural Disaster,East
154,Insurance Plan 154,Natural Disaster,North
155,Insurance Plan 155,Natural Disaster,East
156,Insurance Plan 156,Fire,South
157,Insurance Plan 157,Medical,North
158,Insurance Plan 158,Fire,South
159,Insurance Plan 159,Medical,East
160,Insurance Plan 160,Natural Disaster,South
161,Insurance Plan 161,Medical,South
162,Insurance Plan 162,Medical,West
163,Insurance Plan 163,Medical,North
164,Insurance Plan 164,Fire,West
165,Insurance Plan 165,Medical,North
166,Insurance Plan 166,Fire,East
167,Insurance Plan 167,Theft,East
168,Insurance Plan 168,Theft,West
169,Insurance Plan 169,Natural Disaster,West
170,Insurance Plan 170,Natural Disaster,North
171,Insurance Plan 171,Fire,North
172,Insurance Plan 172,Theft,North
173,Insurance Plan 173,Medical,South
174,Insurance Plan 174,Accident,South
175,Insurance Plan 175,Fire,East
176,Insurance Plan 176,Medical,North
177,Insurance Plan 177,Medical,South
178,Insurance Plan 178,Theft,North
179,Insurance Plan 179,Medical,West
180,Insurance Plan 180,Natural Disaster,South
181,Insurance Plan 181,Theft,South
182,Insurance Plan 182,Theft,West
183,Insurance Plan 183,Fire,South
184,Insurance Plan 184,Medical,West
185,Insurance Plan 185,Theft,East
186,Insurance Plan 186,Theft,North
187,Insurance Plan 187,Accident,North
188,Insurance Plan 188,Accident,South
189,Insurance Plan 189,Theft,West
190,Insurance Plan 190,Medical,East
191,Insurance Plan 191,Theft,South
192,Insurance Plan 192,Fire,South
193,Insurance Plan 193,Accident,East
194,Insurance Plan 194,Medical,North
195,Insurance Plan 195,Medical,East
196,Insurance Plan 196,Natural Disaster,West
197,Insurance Plan 197,Natural Disaster,East
198,Insurance Plan 198,Fire,North
199,Insurance Plan 199,Medical,South
200,Insurance Plan 200,Natural Disaster,East
201,Insurance Plan 201,Fire,North
202,Insurance Plan 202,Natural Disaster,West
203,Insurance Plan 203,Medical,East
204,Insurance Plan 204,Accident,North
205,Insurance Plan 205,Accident,South
206,Insurance Plan 206,Medical,North
207,Insurance Plan 207,Accident,North
208,Insurance Plan 208,Natural Disaster,South
209,Insurance Plan 209,Medical,West
210,Insurance Plan 210,Fire,East
211,Insurance Plan 211,Natural Disaster,East
212,Insurance Plan 212,Fire,East
213,Insurance Plan 213,Natural Disaster,East
214,Insurance Plan 214,Accident,East
215,Insurance Plan 215,Accident,East
216,Insurance Plan 216,Natural Disaster,South
217,Insurance Plan 217,Theft,West
218,Insurance Plan 218,Accident,South
219,Insurance Plan 219,Natural Disaster,East
220,Insurance Plan 220,Accident,North
221,Insurance Plan 221,Medical,East
222,Insurance Plan 222,Theft,West
223,Insurance Plan 223,Natural Disaster,East
224,Insurance Plan 224,Accident,West
225,Insurance Plan 225,Accident,South
226,Insurance Plan 226,Natural Disaster,West
227,Insurance Plan 227,Theft,North
228,Insurance Plan 228,Medical,East
229,Insurance Plan 229,Fire,South
230,Insurance Plan 230,Medical,South
231,Insurance Plan 231,Theft,South
232,Insurance Plan 232,Fire,North
233,Insurance Plan 233,Theft,West
234,Insurance Plan 234,Natural Disaster,North
235,Insurance Plan 235,Accident,West
236,Insurance Plan 236,Natural Disaster,South
237,Insurance Plan 237,Accident,West
238,Insurance Plan 238,Accident,South
239,Insurance Plan 239,Theft,North
240,Insurance Plan 240,Fire,West
241,Insurance Plan 241,Theft,South
242,Insurance Plan 242,Natural Disaster,West
243,Insurance Plan 243,Fire,South
244,Insurance Plan 244,Fire,West
245,Insurance Plan 245,Theft,West
246,Insurance Plan 246,Natural Disaster,East
247,Insurance Plan 247,Accident,West
248,Insurance Plan 248,Natural Disaster,West
249,Insurance Plan 249,Theft,West
250,Insurance Plan 250,Accident,East
251,Insurance Plan 251,Theft,East
252,Insurance Plan 252,Natural Disaster,West
253,Insurance Plan 253,Theft,East
254,Insurance Plan 254,Accident,North
255,Insurance Plan 255,Medical,South
256,Insurance Plan 256,Medical,East
257,Insurance Plan 257,Medical,North
258,Insurance Plan 258,Theft,South
259,Insurance Plan 259,Theft,West
260,Insurance Plan 260,Theft,South
261,Insurance Plan 261,Fire,West
262,Insurance Plan 262,Accident,East
263,Insurance Plan 263,Natural Disaster,West
264,Insurance Plan 264,Accident,North
265,Insurance Plan 265,Theft,West
266,Insurance Plan 266,Accident,North
267,Insurance Plan 267,Natural Disaster,West
268,Insurance Plan 268,Accident,North
