user_id,needs
1,"Fire, Theft"
2,"Fire, Natural Disaster"
3,"Medical, Accident"
4,"Medical, Accident"
5,"Medical, Accident"
6,"Theft, Accident"
7,"Fire, Theft"
8,"Theft, Accident"
9,"Fire, Theft"
10,"Fire, Natural Disaster"
11,"Fire, Natural Disaster"
12,"Theft, Accident"
13,"Medical, Fire"
14,"Fire, Natural Disaster"
15,"Fire, Theft"
16,"Fire, Natural Disaster"
17,"Fire, Natural Disaster"
18,"Theft, Accident"
19,"Theft, Accident"
20,"Fire, Natural Disaster"
21,"Fire, Theft"
22,"Medical, Fire"
23,"Medical, Fire"
24,"Medical, Accident"
25,"Theft, Accident"
26,"Fire, Theft"
27,"Fire, Natural Disaster"
28,"Theft, Accident"
29,"Medical, Fire"
30,"Medical, Accident"
31,"Medical, Fire"
32,"Fire, Natural Disaster"
33,"Medical, Accident"
34,"Fire, Natural Disaster"
35,"Medical, Accident"
36,"Theft, Accident"
37,"Medical, Fire"
38,"Fire, Theft"
39,"Medical, Accident"
40,"Medical, Accident"
41,"Theft, Accident"
42,"Medical, Fire"
43,"Fire, Theft"
44,"Medical, Fire"
45,"Theft, Accident"
46,"Fire, Natural Disaster"
47,"Fire, Natural Disaster"
48,"Medical, Fire"
49,"Theft, Accident"
50,"Theft, Accident"
51,"Medical, Fire"
52,"Medical, Accident"
53,"Medical, Accident"
54,"Fire, Natural Disaster"
55,"Medical, Accident"
56,"Medical, Accident"
57,"Fire, Natural Disaster"
58,"Medical, Fire"
59,"Fire, Theft"
60,"Medical, Accident"
61,"Fire, Theft"
62,"Medical, Accident"
63,"Fire, Theft"
64,"Fire, Theft"
65,"Fire, Theft"
66,"Fire, Theft"
67,"Medical, Fire"
68,"Fire, Natural Disaster"
69,"Medical, Fire"
70,"Fire, Theft"
71,"Medical, Accident"
72,"Theft, Accident"
73,"Medical, Fire"
74,"Fire, Natural Disaster"
75,"Medical, Fire"
76,"Fire, Theft"
77,"Fire, Theft"
78,"Fire, Natural Disaster"
79,"Fire, Theft"
80,"Fire, Natural Disaster"
81,"Theft, Accident"
82,"Fire, Theft"
83,"Medical, Accident"
84,"Medical, Fire"
85,"Medical, Accident"
86,"Theft, Accident"
87,"Fire, Theft"
88,"Medical, Fire"
89,"Medical, Fire"
90,"Medical, Fire"
91,"Theft, Accident"
92,"Theft, Accident"
93,"Medical, Accident"
94,"Medical, Fire"
95,"Theft, Accident"
96,"Fire, Theft"
97,"Fire, Natural Disaster"
98,"Fire, Theft"
99,"Medical, Accident"
100,"Medical, Accident"
101,"Medical, Accident"
102,"Fire, Natural Disaster"
103,"Fire, Natural Disaster"
104,"Theft, Accident"
105,"Medical, Accident"
106,"Medical, Accident"
107,"Medical, Fire"
108,"Fire, Natural Disaster"
109,"Medical, Accident"
110,"Medical, Accident"
111,"Fire, Theft"
112,"Theft, Accident"
113,"Theft, Accident"
114,"Medical, Accident"
115,"Medical, Accident"
116,"Fire, Theft"
117,"Fire, Natural Disaster"
118,"Medical, Accident"
119,"Fire, Natural Disaster"
120,"Theft, Accident"
121,"Theft, Accident"
122,"Medical, Fire"
123,"Fire, Natural Disaster"
124,"Medical, Accident"
125,"Medical, Accident"
126,"Fire, Theft"
127,"Medical, Fire"
128,"Medical, Accident"
129,"Medical, Accident"
130,"Theft, Accident"
131,"Theft, Accident"
132,"Theft, Accident"
133,"Fire, Natural Disaster"
134,"Fire, Theft"
135,"Theft, Accident"
136,"Medical, Fire"
137,"Medical, Fire"
138,"Fire, Natural Disaster"
139,"Medical, Fire"
140,"Medical, Fire"
141,"Medical, Fire"
142,"Theft, Accident"
143,"Fire, Theft"
144,"Theft, Accident"
145,"Fire, Natural Disaster"
146,"Fire, Theft"
147,"Medical, Accident"
148,"Fire, Theft"
149,"Theft, Accident"
150,"Medical, Fire"
151,"Fire, Natural Disaster"
152,"Medical, Fire"
153,"Theft, Accident"
154,"Fire, Theft"
155,"Medical, Fire"
156,"Theft, Accident"
157,"Medical, Accident"
158,"Fire, Natural Disaster"
